# BUSCO version is: 5.8.0 
# The lineage dataset is: saccharomycetes_odb10 (Creation date: 2020-08-05, number of genomes: 76, number of BUSCOs: 2137)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
2138at4891	Complete	h2tg000001l_path	216322	213752	-	564.5	430	https://www.orthodb.org/v10?query=2138at4891	Sla1
2161at4891	Complete	h2tg000009l_path	843616	846483	+	1034.5	695	https://www.orthodb.org/v10?query=2161at4891	Splicing factor 3B subunit 1
2166at4891	Complete	h2tg000003l_path	342225	339936	-	1286.8	679	https://www.orthodb.org/v10?query=2166at4891	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
2167at4891	Complete	h2tg000009l_path	674368	671491	-	1350.4	729	https://www.orthodb.org/v10?query=2167at4891	ATP-dependent 6-phosphofructokinase
2171at4891	Complete	h2tg000013l_path	22879	25857	+	711.9	592	https://www.orthodb.org/v10?query=2171at4891	Rho GTPase activation protein
2180at4891	Complete	h2tg000013l_path	940749	937849	-	1183.7	752	https://www.orthodb.org/v10?query=2180at4891	Coatomer subunit beta
2193at4891	Complete	h2tg000008l_path	88684	91395	+	1323.3	761	https://www.orthodb.org/v10?query=2193at4891	P-loop containing nucleoside triphosphate hydrolase protein
2203at4891	Complete	h2tg000016l_path	647633	649651	+	1047.6	580	https://www.orthodb.org/v10?query=2203at4891	Glutaminyl-tRNA synthetase
2212at4891	Complete	h2tg000001l_path	400906	398636	-	922.7	567	https://www.orthodb.org/v10?query=2212at4891	ATPase, AAA-type, conserved site
2307at4891	Complete	h2tg000008l_path	728357	726161	-	1340.1	660	https://www.orthodb.org/v10?query=2307at4891	Aconitate hydratase, mitochondrial
2368at4891	Complete	h2tg000008l_path	928118	925356	-	1002.8	696	https://www.orthodb.org/v10?query=2368at4891	WD40 repeat
2373at4891	Complete	h2tg000009l_path	271119	269008	-	668.6	417	https://www.orthodb.org/v10?query=2373at4891	Serine/threonine-protein kinase
2385at4891	Complete	h2tg000001l_path	180832	177849	-	1038.0	688	https://www.orthodb.org/v10?query=2385at4891	Lon protease homolog, mitochondrial
2413at4891	Complete	h2tg000001l_path	383222	385981	+	519.4	402	https://www.orthodb.org/v10?query=2413at4891	SNF2-related, N-terminal domain
2421at4891	Complete	h2tg000006l_path	63422	66811	+	822.4	694	https://www.orthodb.org/v10?query=2421at4891	Ubiquitin carboxyl-terminal hydrolase 12
2432at4891	Complete	h2tg000011l_path	598070	600304	+	1142.6	621	https://www.orthodb.org/v10?query=2432at4891	DNA helicase
2446at4891	Complete	h2tg000010l_path	191268	196028	+	650.8	738	https://www.orthodb.org/v10?query=2446at4891	Autophagy-related protein 2
2456at4891	Complete	h2tg000012l_path	114851	118186	+	820.8	520	https://www.orthodb.org/v10?query=2456at4891	SNF2-related, N-terminal domain
2459at4891	Complete	h2tg000012l_path	143794	147398	+	574.1	836	https://www.orthodb.org/v10?query=2459at4891	WD40/YVTN repeat-like-containing domain superfamily
2471at4891	Complete	h2tg000010l_path	394613	397495	+	1226.1	780	https://www.orthodb.org/v10?query=2471at4891	Pro-apoptotic serine protease NMA111
2483at4891	Complete	h2tg000002l_path	68289	65946	-	996.7	579	https://www.orthodb.org/v10?query=2483at4891	Histidine biosynthesis trifunctional protein
2485at4891	Complete	h2tg000004l_path	196471	194084	-	1048.8	585	https://www.orthodb.org/v10?query=2485at4891	Putative SWI/SNF family member, DNA-dependent ATPase
2499at4891	Complete	h2tg000010l_path	48012	45454	-	932.9	651	https://www.orthodb.org/v10?query=2499at4891	Tetratricopeptide repeat
2515at4891	Complete	h2tg000001l_path	273642	270889	-	705.0	632	https://www.orthodb.org/v10?query=2515at4891	binding
2531at4891	Complete	h2tg000009l_path	370186	367985	-	920.0	500	https://www.orthodb.org/v10?query=2531at4891	WD40-repeat-containing domain
2534at4891	Complete	h2tg000004l_path	1026974	1031104	+	944.7	604	https://www.orthodb.org/v10?query=2534at4891	ATPase, AAA-type, conserved site
2539at4891	Complete	h2tg000009l_path	893421	890982	-	564.7	520	https://www.orthodb.org/v10?query=2539at4891	Eukaryotic translation initiation factor 3 subunit C
2543at4891	Complete	h2tg000010l_path	206876	209217	+	319.1	452	https://www.orthodb.org/v10?query=2543at4891	Mediator of RNA polymerase II transcription subunit 16
2548at4891	Complete	h2tg000002l_path	205193	201447	-	795.6	699	https://www.orthodb.org/v10?query=2548at4891	Transcription initiation factor TFIID subunit 2
2549at4891	Complete	h2tg000015l_path	480666	476005	-	1497.7	966	https://www.orthodb.org/v10?query=2549at4891	WD40 repeat
2564at4891	Complete	h2tg000011l_path	507360	510707	+	792.6	665	https://www.orthodb.org/v10?query=2564at4891	RuvA domain 2-like
2565at4891	Complete	h2tg000001l_path	405258	401287	-	740.8	592	https://www.orthodb.org/v10?query=2565at4891	Bromodomain
2568at4891	Complete	h2tg000013l_path	709508	712629	+	824.0	621	https://www.orthodb.org/v10?query=2568at4891	WD40-repeat-containing domain
2611at4891	Complete	h2tg000004l_path	973274	970332	-	1341.4	728	https://www.orthodb.org/v10?query=2611at4891	ATP-dependent 6-phosphofructokinase
2618at4891	Duplicated	h2tg000009l_path	486457	490113	+	1530.8	854	https://www.orthodb.org/v10?query=2618at4891	Myosin-1
2618at4891	Duplicated	h2tg000007l_path	200243	196885	-	1482.1	813	https://www.orthodb.org/v10?query=2618at4891	Myosin-1
2630at4891	Fragmented	h2tg000001l_path	437672	441313	+	512.1	630	https://www.orthodb.org/v10?query=2630at4891	WD40-repeat-containing domain
2640at4891	Complete	h2tg000001l_path	467729	469633	+	1007.6	536	https://www.orthodb.org/v10?query=2640at4891	Zinc finger, RING-type
2706at4891	Complete	h2tg000008l_path	884548	886940	+	647.5	501	https://www.orthodb.org/v10?query=2706at4891	Vacuole morphology and inheritance protein 14
2716at4891	Complete	h2tg000008l_path	690428	688092	-	880.3	523	https://www.orthodb.org/v10?query=2716at4891	Pre-mRNA 3'-end-processing endonuclease polyadenylation factor C-term
2724at4891	Fragmented	h2tg000005l_path	213251	214639	+	890.5	428	https://www.orthodb.org/v10?query=2724at4891	Threonyl-tRNA synthetase
2754at4891	Complete	h2tg000016l_path	1015548	1013407	-	649.7	541	https://www.orthodb.org/v10?query=2754at4891	Eukaryotic translation initiation factor 3 subunit B
2784at4891	Complete	h2tg000004l_path	448868	446751	-	1125.8	586	https://www.orthodb.org/v10?query=2784at4891	Tryptophan synthase
2793at4891	Complete	h2tg000004l_path	446372	443979	-	744.3	584	https://www.orthodb.org/v10?query=2793at4891	Glycosyl hydrolase family 63, N-terminal
2825at4891	Complete	h2tg000008l_path	274694	272463	-	1121.9	600	https://www.orthodb.org/v10?query=2825at4891	Elongation factor G, mitochondrial
2851at4891	Fragmented	h2tg000008l_path	573036	571123	-	644.3	474	https://www.orthodb.org/v10?query=2851at4891	WD40-repeat-containing domain
2862at4891	Complete	h2tg000013l_path	238581	236077	-	1392.6	684	https://www.orthodb.org/v10?query=2862at4891	ATPase, AAA-type, conserved site
2893at4891	Complete	h2tg000016l_path	859383	863678	+	1213.3	827	https://www.orthodb.org/v10?query=2893at4891	Cation-transporting ATPase
2898at4891	Fragmented	h2tg000003l_path	296143	298071	+	759.5	490	https://www.orthodb.org/v10?query=2898at4891	N-acetyl-gamma-glutamyl-phosphate reductase, active site
2905at4891	Complete	h2tg000010l_path	122911	125421	+	385.5	475	https://www.orthodb.org/v10?query=2905at4891	Topoisomerase 1-associated factor 1
2915at4891	Complete	h2tg000016l_path	947902	951828	+	666.8	901	https://www.orthodb.org/v10?query=2915at4891	UDP-glucose:Glycoprotein Glucosyltransferase
2926at4891	Complete	h2tg000006l_path	230701	233080	+	760.0	596	https://www.orthodb.org/v10?query=2926at4891	Ribosome-releasing factor 2, mitochondrial
